date,tieba,douban,weibo
2024-09-07,-0.5952606635071089,-0.5,-0.25
2024-09-08,-0.6153543307086613,-0.7222222222222222,-0.010000000000000033
2024-09-09,-0.618005540166205,-1.0,-0.007142857142857151
2024-09-10,-0.5772881355932202,-1.0,0.004347826086956497
2024-09-11,-0.5236024844720497,,0.6260869565217392
2024-09-12,-0.5061224489795919,-0.38461538461538464,-0.029166666666666688
2024-09-13,-0.39615384615384613,0.3333333333333333,-0.07631578947368423
2024-09-14,-0.5311557788944724,,-0.12272727272727274
2024-09-15,-0.6232209737827715,,0.503125
2024-09-16,-0.5773584905660377,-0.5789473684210527,0.05416666666666665
2024-09-17,-0.5623188405797102,,0.12999999999999998
2024-09-18,-0.65,,-0.11000000000000003
2024-09-19,-0.6222222222222221,,0.05333333333333331
